                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.5408,                0.88393,                 1.2202,                0.78177,                0.64557,                0.67249,                0.31127,                 1.3916,                 1.2446,                0.96757,               0.003763,               0.003763,               0.003763
                     65,                 1.5506,                0.88534,                 1.2353,                0.77871,                0.64588,                0.66969,                0.31148,                 1.3902,                 1.2378,                0.96669,               0.003664,               0.003664,               0.003664
                     66,                 1.5261,                0.85445,                 1.2182,                0.78535,                0.64841,                0.67089,                0.31097,                 1.3907,                 1.2382,                  0.967,               0.003565,               0.003565,               0.003565
                     67,                 1.5206,                0.84548,                 1.2164,                 0.7871,                0.64676,                0.67024,                0.31041,                 1.3903,                 1.2342,                0.96637,               0.003466,               0.003466,               0.003466
                     68,                   1.54,                0.87586,                 1.2262,                0.78693,                0.64652,                0.66822,                0.31082,                 1.3909,                 1.2278,                0.96619,               0.003367,               0.003367,               0.003367
                     69,                 1.5184,                0.86821,                 1.2125,                0.78868,                0.64816,                0.66869,                0.31113,                 1.3885,                 1.2239,                0.96537,               0.003268,               0.003268,               0.003268
                     70,                 1.5147,                0.87553,                 1.2113,                 0.7886,                0.64818,                0.66817,                0.31135,                 1.3882,                 1.2216,                 0.9645,               0.003169,               0.003169,               0.003169
                     71,                 1.5204,                0.87289,                 1.2143,                0.78893,                0.64806,                0.66769,                0.31103,                 1.3867,                   1.22,                0.96427,                0.00307,                0.00307,                0.00307
                     72,                 1.5091,                0.84901,                 1.2129,                0.78754,                0.64799,                0.66622,                0.31108,                 1.3858,                 1.2228,                0.96458,               0.002971,               0.002971,               0.002971
                     73,                 1.4978,                0.83689,                 1.2036,                 0.7882,                0.65056,                0.66746,                0.31153,                 1.3859,                 1.2223,                0.96507,               0.002872,               0.002872,               0.002872
                     74,                 1.4854,                0.83167,                 1.2083,                0.78242,                0.64818,                0.66405,                0.31053,                 1.3868,                 1.2192,                0.96499,               0.002773,               0.002773,               0.002773
                     75,                 1.4912,                0.82852,                 1.2073,                0.78432,                0.65206,                0.66454,                0.31005,                 1.3864,                 1.2176,                0.96503,               0.002674,               0.002674,               0.002674
                     76,                 1.4714,                0.82213,                 1.1957,                0.78514,                0.65389,                0.66622,                0.30896,                 1.3866,                 1.2142,                0.96417,               0.002575,               0.002575,               0.002575
                     77,                 1.4896,                 0.8222,                 1.2013,                 0.7854,                0.65377,                0.66506,                 0.3083,                 1.3875,                 1.2152,                0.96486,               0.002476,               0.002476,               0.002476
                     78,                 1.4615,                0.82023,                 1.1939,                0.78773,                0.65102,                0.66362,                0.30798,                  1.389,                 1.2112,                0.96499,               0.002377,               0.002377,               0.002377
                     79,                   1.48,                0.82486,                 1.1943,                0.78433,                 0.6496,                0.66248,                0.30738,                 1.3902,                 1.2111,                 0.9658,               0.002278,               0.002278,               0.002278
                     80,                 1.4661,                0.80789,                 1.2001,                0.78778,                0.64523,                0.66003,                0.30648,                 1.3914,                 1.2088,                0.96649,               0.002179,               0.002179,               0.002179
                     81,                  1.431,                0.80919,                 1.1763,                0.78524,                 0.6451,                0.65834,                 0.3057,                 1.3927,                 1.2064,                0.96759,                0.00208,                0.00208,                0.00208
                     82,                 1.4503,                0.82047,                 1.1862,                0.78747,                0.64418,                0.65921,                0.30333,                 1.3937,                 1.2003,                  0.969,               0.001981,               0.001981,               0.001981
                     83,                 1.4356,                0.80895,                 1.1826,                0.78474,                0.64566,                0.65739,                0.30314,                 1.3948,                 1.2012,                0.96927,               0.001882,               0.001882,               0.001882
                     84,                 1.4283,                0.79069,                 1.1658,                0.78432,                0.64047,                0.65576,                0.30315,                 1.3995,                 1.1998,                0.97156,               0.001783,               0.001783,               0.001783
                     85,                 1.4306,                0.79451,                 1.1745,                0.78304,                0.64335,                0.65508,                0.30181,                 1.4007,                 1.1982,                0.97272,               0.001684,               0.001684,               0.001684
